Timestamp,Author_ID,Content,Likes,Retweets,Replies,Cleaned_Content,Sentiment_Polarity,Sentiment,Dominant_Topic
2024-11-21 13:31:01+00:00,1739162675081592832,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1799672558889107456,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1854859364399824897,"RT @TaurusAI_: Trading perps just got easier 💫

Taurus AI lets you open, manage, and close positions on @Telegram—no extra fees. Get instan…",0,2599,0,"rt  trading perps just got easier 

taurus ai lets you open manage and close positions on no extra fees get instan",0.0,Neutral,0
2024-11-21 13:31:01+00:00,2180419500,"@cryptozamasu Click on the link and say hi 👋 so you can be added to STASHER free trading group on telegram
👇👇👇

https://t.co/9jie1crjAp",0,0,0," click on the link and say hi  so you can be added to stasher free trading group on telegram


",0.4,Positive,1
2024-11-21 13:31:01+00:00,2549846904,"@vasgeo310 I recently started a top class learning and earning program for all of my fully focused followers, for both beginners and advanced investors on my trading Channel.  Say hi to be part of my great mentorship program on Telegram.

👇 👇 👇

https://t.co/cFxmv5eBK5",0,0,0," i recently started a top class learning and earning program for all of my fully focused followers for both beginners and advanced investors on my trading channel  say hi to be part of my great mentorship program on telegram

  

",0.42500000000000004,Positive,3
2024-11-21 13:31:01+00:00,1799073280269381632,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1779672241393057792,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1738906533151260672,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1212936159417925633,"RT @KobeissiLetter: BREAKING: Total US stock market capitalization has hit $60 TRILLION for the first time in history.

Over the last 4 yea…",0,534,0,"rt  breaking total us stock market capitalization has hit  trillion for the first time in history

over the last  yea",0.08333333333333333,Positive,4
2024-11-21 13:31:01+00:00,1799560402101043200,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1738868933334093824,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1799490781192855552,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1739158303442145280,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:01+00:00,1597028434865115136,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:00+00:00,1810691700031156224,"RT @rieldy: $20🎩 20 Hours 

‼️RT &amp; Follow‼️ 
@CoinWOfficial 

👇 RT the post below👇

____________________________________
👑CoinW Legend Cup…",0,1945,0,"rt    hours 

rt amp follow 
 

 rt the post below

____________________________________
coinw legend cup",0.0,Neutral,4
2024-11-21 13:31:00+00:00,1818563064763236354,RT @CoinWOfficial: 🥇 The competition is heating up! Here are our weekly top traders! Who will take the crown in our Spot and Futures Tradin…,0,2475,0,rt   the competition is heating up here are our weekly top traders who will take the crown in our spot and futures tradin,0.5,Positive,0
2024-11-21 13:31:00+00:00,1767506827955081216,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
2024-11-21 13:31:00+00:00,1739161292181745664,"RT @FameEXGlobal: 🤔 How to start your USDⓈ-M Perpetual Futures trading? 

Follow these 3 simple steps here below👇

⭐️ Try our $BTC/ $USDT F…",0,224,0,"rt   how to start your usdm perpetual futures trading 

follow these  simple steps here below

 try our btc usdt f",0.0,Neutral,0
